"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
"AOFH23014","Adidas Edition One AOFH23014 Montre Hommes","<p><b>Adidas Edition One AOFH23014 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent, mat / polies</li>      <li>Bracelet en silicone, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran argent / noir</li>      <li>Largeur du bo&icirc;tier ca. 39 mm</li>      <li>Taille du bo&icirc;tier d'environ 10 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition One AOFH23014 Montre Hommes","TRUE","","","","","","","AOFH23014","","shopify","1","deny","manual","41.60","","TRUE","FALSE","840190029364","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH23014.jpg","Adidas Edition One AOFH23014 Montre Hommes","","","","","","Adidas Edition One AOFH23014 Montre Hommes","Adidas Edition One AOFH23014 Montre Hommes","","","","","","","","","","",""
"AOFH22054","Adidas Edition Three AOFH22054 Montre Hommes","<p><b>Adidas Edition Three AOFH22054 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent, mat / polies</li>      <li>Bracelet en acier inoxydable, rev&ecirc;tement de couleur argent, polies / mat, fermoir d&eacute;ployante</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 42 mm</li>      <li>Taille du bo&icirc;tier d'environ 8 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Three AOFH22054 Montre Hommes","TRUE","","","","","","","AOFH22054","","shopify","2","deny","manual","41.60","","TRUE","FALSE","840190027797","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22054.jpg","Adidas Edition Three AOFH22054 Montre Hommes","","","","","","Adidas Edition Three AOFH22054 Montre Hommes","Adidas Edition Three AOFH22054 Montre Hommes","","","","","","","","","","",""
"AOFH22507","Adidas Edition Three AOFH22507 Montre Femmes","<p><b>Adidas Edition Three AOFH22507 Montre Femmes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or rose, mat / polies</li>      <li>Bracelet en cuir, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 36 mm</li>      <li>Taille du bo&icirc;tier d'environ 7 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Three AOFH22507 Montre Femmes","TRUE","","","","","","","AOFH22507","","shopify","2","deny","manual","36.80","","TRUE","FALSE","840190028640","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22507.jpg","Adidas Edition Three AOFH22507 Montre Femmes","","","","","","Adidas Edition Three AOFH22507 Montre Femmes","Adidas Edition Three AOFH22507 Montre Femmes","","","","","","","","","","",""
"AOFH22508","Adidas Edition Three AOFH22508 Montre Femmes","<p><b>Adidas Edition Three AOFH22508 Montre Femmes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or, mat / polies</li>      <li>Bracelet en cuir, vert, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran argent</li>      <li>Largeur du bo&icirc;tier ca. 36 mm</li>      <li>Taille du bo&icirc;tier d'environ 7 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Three AOFH22508 Montre Femmes","TRUE","","","","","","","AOFH22508","","shopify","1","deny","manual","36.80","","TRUE","FALSE","840190028657","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22508.jpg","Adidas Edition Three AOFH22508 Montre Femmes","","","","","","Adidas Edition Three AOFH22508 Montre Femmes","Adidas Edition Three AOFH22508 Montre Femmes","","","","","","","","","","",""
"AOFH22509","Adidas Edition Three AOFH22509 Montre Femmes","<p><b>Adidas Edition Three AOFH22509 Montre Femmes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or, mat / polies</li>      <li>Bracelet en cuir, pink, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran argent</li>      <li>Largeur du bo&icirc;tier ca. 36 mm</li>      <li>Taille du bo&icirc;tier d'environ 7 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Three AOFH22509 Montre Femmes","TRUE","","","","","","","AOFH22509","","shopify","2","deny","manual","36.80","","TRUE","FALSE","840190028664","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22509.jpg","Adidas Edition Three AOFH22509 Montre Femmes","","","","","","Adidas Edition Three AOFH22509 Montre Femmes","Adidas Edition Three AOFH22509 Montre Femmes","","","","","","","","","","",""
"AOFH22570","Adidas Edition Three AOFH22570 Montre Femmes","<p><b>Adidas Edition Three AOFH22570 Montre Femmes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or, mat / polies</li>      <li>Bracelet en cuir, rouge, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran argent</li>      <li>Largeur du bo&icirc;tier ca. 36 mm</li>      <li>Taille du bo&icirc;tier d'environ 7 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Three AOFH22570 Montre Femmes","TRUE","","","","","","","AOFH22570","","shopify","3","deny","manual","36.80","","TRUE","FALSE","840190028725","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22570.jpg","Adidas Edition Three AOFH22570 Montre Femmes","","","","","","Adidas Edition Three AOFH22570 Montre Femmes","Adidas Edition Three AOFH22570 Montre Femmes","","","","","","","","","","",""
"AOFH22573","Adidas Edition Three AOFH22573 Montre Femmes","<p><b>Adidas Edition Three AOFH22573 Montre Femmes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement noir, mat / polies</li>      <li>Bracelet en cuir, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Cadran serti de pierres</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 36 mm</li>      <li>Taille du bo&icirc;tier d'environ 7 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Three AOFH22573 Montre Femmes","TRUE","","","","","","","AOFH22573","","shopify","1","deny","manual","39.60","","TRUE","FALSE","840190028756","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22573.jpg","Adidas Edition Three AOFH22573 Montre Femmes","","","","","","Adidas Edition Three AOFH22573 Montre Femmes","Adidas Edition Three AOFH22573 Montre Femmes","","","","","","","","","","",""
"AOFH22001","Adidas Edition Two AOFH22001 Montre Hommes","<p><b>Adidas Edition Two AOFH22001 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement noir, mat</li>      <li>Bracelet en silicone, bleu, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 42 mm</li>      <li>Taille du bo&icirc;tier d'environ 10 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Two AOFH22001 Montre Hommes","TRUE","","","","","","","AOFH22001","","shopify","2","deny","manual","44.60","","TRUE","FALSE","840190027711","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22001.jpg","Adidas Edition Two AOFH22001 Montre Hommes","","","","","","Adidas Edition Two AOFH22001 Montre Hommes","Adidas Edition Two AOFH22001 Montre Hommes","","","","","","","","","","",""
"AOFH22502","Adidas Edition Two AOFH22502 Montre Hommes","<p><b>Adidas Edition Two AOFH22502 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent, mat</li>      <li>Bracelet en acier inoxydable, rev&ecirc;tement de couleur argent, mat, Fermeture &agrave; rabat</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 42 mm</li>      <li>Taille du bo&icirc;tier d'environ 10 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Two AOFH22502 Montre Hommes","TRUE","","","","","","","AOFH22502","","shopify","2","deny","manual","46.80","","TRUE","FALSE","840190028859","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22502.jpg","Adidas Edition Two AOFH22502 Montre Hommes","","","","","","Adidas Edition Two AOFH22502 Montre Hommes","Adidas Edition Two AOFH22502 Montre Hommes","","","","","","","","","","",""
"AOFH22503","Adidas Edition Two AOFH22503 Montre Hommes","<p><b>Adidas Edition Two AOFH22503 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent, mat</li>      <li>Bracelet en acier inoxydable, rev&ecirc;tement de couleur argent, mat, Fermeture &agrave; rabat</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>10 ATM Water Resistant</li>      <li>Couleur du cadran argent</li>      <li>Largeur du bo&icirc;tier ca. 42 mm</li>      <li>Taille du bo&icirc;tier d'environ 10 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Edition Two AOFH22503 Montre Hommes","TRUE","","","","","","","AOFH22503","","shopify","1","deny","manual","47.60","","TRUE","FALSE","840190028602","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH22503.jpg","Adidas Edition Two AOFH22503 Montre Hommes","","","","","","Adidas Edition Two AOFH22503 Montre Hommes","Adidas Edition Two AOFH22503 Montre Hommes","","","","","","","","","","",""
"AOFH23015","Adidas Expression One AOFH23015 Montre Hommes","<p><b>Adidas Expression One AOFH23015 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or / noir, mat / polies</li>      <li>Bracelet en cuir, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 44 mm</li>      <li>Taille du bo&icirc;tier d'environ 11 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Expression One AOFH23015 Montre Hommes","TRUE","","","","","","","AOFH23015","","shopify","1","deny","manual","44.60","","TRUE","FALSE","840190029371","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH23015.jpg","Adidas Expression One AOFH23015 Montre Hommes","","","","","","Adidas Expression One AOFH23015 Montre Hommes","Adidas Expression One AOFH23015 Montre Hommes","","","","","","","","","","",""
"AOFH23016","Adidas Expression One AOFH23016 Montre Hommes","<p><b>Adidas Expression One AOFH23016 Montre Hommes</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur argent / noir, mat / polies</li>      <li>Bracelet en cuir, noir, boucle ardillon</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>5 ATM Water Resistant</li>      <li>Couleur du cadran noir</li>      <li>Largeur du bo&icirc;tier ca. 44 mm</li>      <li>Taille du bo&icirc;tier d'environ 11 mm</li>  </ul>  <p><b>Livr&eacute; avec livret et la bo&icirc;te.</b></p>","Adidas","Montres Marque","Adidas Expression One AOFH23016 Montre Hommes","TRUE","","","","","","","AOFH23016","","shopify","2","deny","manual","41.60","","TRUE","FALSE","840190029388","https://shop.heinrichssohn.de/images/product_images/original_images/AOFH23016.jpg","Adidas Expression One AOFH23016 Montre Hommes","","","","","","Adidas Expression One AOFH23016 Montre Hommes","Adidas Expression One AOFH23016 Montre Hommes","","","","","","","","","","",""
"AOST22071","Adidas Street Digital Two AOST22071 Montre Unisexe Chronographe","<p><b>Adidas Street Digital Two AOST22071 Montre Hommes Montre Femmes Chronographe Num&eacute;rique</b></p>  <ul>      <li>Bo&icirc;tier en acier inoxydable, rev&ecirc;tement de couleur or, polies / mat</li>      <li>Bracelet en acier inoxydable, rev&ecirc;tement de couleur or, polies / mat, Fermeture &agrave; rabat</li>      <li>Mouvement &agrave; quartz, fonctionnant sur batterie</li>      <li>Affichage de jour, Affichage de la date</li>      <li>Fonction chronographe, Chronom&egrave;tre</li>      <li>Fonction d'alarme</li>      <li>Timer</li>      <li>Couleur du display vert</li>      <li>Largeur du bo&icirc;tier d'environ 36 mm</li>      <li>Taille du bo&icirc;tier d'environ 9 mm</li>  </ul>  <p>Livr&eacute; avec bo&icirc;te.</p>","Adidas","Montres Marque","Adidas Street Digital Two AOST22071 Montre Unisexe Chronographe","FALSE","","","","","","","AOST22071","","shopify","0","deny","manual","29.80","","TRUE","FALSE","840190028107","https://shop.heinrichssohn.de/images/product_images/original_images/AOST22071.jpg","Adidas Street Digital Two AOST22071 Montre Unisexe Chronographe","","","","","","Adidas Street Digital Two AOST22071 Montre Unisexe Chronographe","Adidas Street Digital Two AOST22071 Montre Unisexe Chronographe","","","","","","","","","","",""
